date	location	variant	sequences	thres
2022-04-17	Germany	Omicron 21K	2	500.0
2022-04-19	Germany	Omicron 21K	2	500.0
2022-04-20	Germany	Omicron 21K	1	500.0
2022-04-21	Germany	Omicron 21K	1	500.0
2022-04-24	Germany	Omicron 21K	2	500.0
2022-04-25	Germany	Omicron 21K	1	500.0
2022-05-12	Germany	Omicron 21K	1	500.0
2022-05-18	Germany	Omicron 21K	1	500.0
2022-02-18	Germany	Omicron 21L	9	500.0
2022-02-19	Germany	Omicron 21L	9	500.0
2022-02-20	Germany	Omicron 21L	2	500.0
2022-02-21	Germany	Omicron 21L	12	500.0
2022-02-22	Germany	Omicron 21L	13	500.0
2022-02-23	Germany	Omicron 21L	8	500.0
2022-02-24	Germany	Omicron 21L	16	500.0
2022-02-25	Germany	Omicron 21L	7	500.0
2022-02-26	Germany	Omicron 21L	6	500.0
2022-02-27	Germany	Omicron 21L	2	500.0
2022-02-28	Germany	Omicron 21L	11	500.0
2022-03-01	Germany	Omicron 21L	13	500.0
2022-03-02	Germany	Omicron 21L	16	500.0
2022-03-03	Germany	Omicron 21L	15	500.0
2022-03-04	Germany	Omicron 21L	6	500.0
2022-03-05	Germany	Omicron 21L	13	500.0
2022-03-06	Germany	Omicron 21L	6	500.0
2022-03-07	Germany	Omicron 21L	8	500.0
2022-03-08	Germany	Omicron 21L	19	500.0
2022-03-09	Germany	Omicron 21L	18	500.0
2022-03-10	Germany	Omicron 21L	10	500.0
2022-03-11	Germany	Omicron 21L	5	500.0
2022-03-12	Germany	Omicron 21L	9	500.0
2022-03-13	Germany	Omicron 21L	2	500.0
2022-03-14	Germany	Omicron 21L	12	500.0
2022-03-15	Germany	Omicron 21L	15	500.0
2022-03-16	Germany	Omicron 21L	17	500.0
2022-03-17	Germany	Omicron 21L	8	500.0
2022-03-18	Germany	Omicron 21L	9	500.0
2022-03-19	Germany	Omicron 21L	9	500.0
2022-03-20	Germany	Omicron 21L	8	500.0
2022-03-21	Germany	Omicron 21L	24	500.0
