	date	location	variant	sequences
692	2021-12-23	Sweden	Omicron 21K	134
693	2021-12-24	Sweden	Omicron 21K	35
694	2021-12-25	Sweden	Omicron 21K	56
695	2021-12-26	Sweden	Omicron 21K	31
696	2021-12-27	Sweden	Omicron 21K	60
697	2021-12-28	Sweden	Omicron 21K	73
698	2021-12-29	Sweden	Omicron 21K	32
699	2021-12-30	Sweden	Omicron 21K	45
700	2021-12-31	Sweden	Omicron 21K	12
701	2022-01-01	Sweden	Omicron 21K	10
702	2022-01-02	Sweden	Omicron 21K	12
703	2022-01-03	Sweden	Omicron 21K	57
704	2022-01-04	Sweden	Omicron 21K	70
705	2022-01-05	Sweden	Omicron 21K	66
706	2022-01-06	Sweden	Omicron 21K	9
707	2022-01-07	Sweden	Omicron 21K	40
708	2022-01-08	Sweden	Omicron 21K	7
709	2022-01-09	Sweden	Omicron 21K	1
710	2021-12-03	Sweden	Omicron 21L	1
711	2021-12-09	Sweden	Omicron 21L	1
712	2021-12-14	Sweden	Omicron 21L	1
713	2021-12-15	Sweden	Omicron 21L	2
714	2021-12-16	Sweden	Omicron 21L	1
715	2021-12-17	Sweden	Omicron 21L	2
716	2021-12-19	Sweden	Omicron 21L	1
717	2021-12-20	Sweden	Omicron 21L	21
718	2021-12-21	Sweden	Omicron 21L	23
719	2021-12-22	Sweden	Omicron 21L	23
720	2021-12-23	Sweden	Omicron 21L	9
721	2021-12-25	Sweden	Omicron 21L	2
722	2021-12-26	Sweden	Omicron 21L	2
723	2021-12-27	Sweden	Omicron 21L	6
724	2021-12-28	Sweden	Omicron 21L	6
725	2021-12-29	Sweden	Omicron 21L	5
726	2021-12-30	Sweden	Omicron 21L	7
727	2021-12-31	Sweden	Omicron 21L	1
728	2022-01-01	Sweden	Omicron 21L	2
729	2022-01-02	Sweden	Omicron 21L	4
730	2022-01-03	Sweden	Omicron 21L	19
731	2022-01-04	Sweden	Omicron 21L	15
732	2022-01-05	Sweden	Omicron 21L	24
733	2022-01-06	Sweden	Omicron 21L	1
734	2022-01-07	Sweden	Omicron 21L	1
735	2022-01-08	Sweden	Omicron 21L	1
736	2022-01-09	Sweden	Omicron 21L	1
737	2021-10-18	United Kingdom	other	4
738	2021-10-19	United Kingdom	other	1
739	2021-10-20	United Kingdom	other	1
740	2021-10-22	United Kingdom	other	1
741	2021-10-26	United Kingdom	other	2
742	2021-10-27	United Kingdom	other	2
743	2021-10-28	United Kingdom	other	4
744	2021-10-30	United Kingdom	other	1
745	2021-11-04	United Kingdom	other	1
746	2021-11-08	United Kingdom	other	2
747	2021-11-10	United Kingdom	other	3
748	2021-11-12	United Kingdom	other	4
749	2021-11-17	United Kingdom	other	3
750	2021-11-19	United Kingdom	other	1
751	2021-11-20	United Kingdom	other	3
752	2021-11-22	United Kingdom	other	4
753	2021-11-23	United Kingdom	other	2
754	2021-11-24	United Kingdom	other	3
755	2021-11-26	United Kingdom	other	5
756	2021-11-27	United Kingdom	other	2
757	2021-11-28	United Kingdom	other	1
758	2021-11-29	United Kingdom	other	1
759	2021-11-30	United Kingdom	other	1
760	2021-12-01	United Kingdom	other	2
761	2021-12-02	United Kingdom	other	3
762	2021-12-03	United Kingdom	other	2
763	2021-12-05	United Kingdom	other	2
764	2021-12-06	United Kingdom	other	9
765	2021-12-07	United Kingdom	other	5
766	2021-12-08	United Kingdom	other	4
767	2021-12-09	United Kingdom	other	7
768	2021-12-10	United Kingdom	other	9
769	2021-12-11	United Kingdom	other	5
770	2021-12-12	United Kingdom	other	9
771	2021-12-13	United Kingdom	other	13
772	2021-12-14	United Kingdom	other	25
773	2021-12-15	United Kingdom	other	24
774	2021-12-16	United Kingdom	other	12
775	2021-12-17	United Kingdom	other	4
776	2021-12-18	United Kingdom	other	9
777	2021-12-19	United Kingdom	other	10
778	2021-12-20	United Kingdom	other	14
779	2021-12-21	United Kingdom	other	12
780	2021-12-22	United Kingdom	other	8
781	2021-12-23	United Kingdom	other	6
782	2021-12-24	United Kingdom	other	13
783	2021-12-25	United Kingdom	other	2
784	2021-12-26	United Kingdom	other	7
785	2021-12-27	United Kingdom	other	8
786	2021-12-28	United Kingdom	other	5
787	2021-12-29	United Kingdom	other	4
788	2021-12-30	United Kingdom	other	8
789	2021-12-31	United Kingdom	other	2
790	2022-01-01	United Kingdom	other	2
791	2022-01-02	United Kingdom	other	4
792	2022-01-03	United Kingdom	other	2
793	2022-01-04	United Kingdom	other	5
794	2022-01-05	United Kingdom	other	3
795	2022-01-06	United Kingdom	other	5
796	2022-01-07	United Kingdom	other	2
797	2022-01-08	United Kingdom	other	2
798	2022-01-10	United Kingdom	other	4
799	2022-01-11	United Kingdom	other	3
800	2021-10-15	United Kingdom	Delta	4815
801	2021-10-16	United Kingdom	Delta	4430
802	2021-10-17	United Kingdom	Delta	4514
803	2021-10-18	United Kingdom	Delta	7045
804	2021-10-19	United Kingdom	Delta	6964
805	2021-10-20	United Kingdom	Delta	6034
806	2021-10-21	United Kingdom	Delta	5363
807	2021-10-22	United Kingdom	Delta	5066
808	2021-10-23	United Kingdom	Delta	6057
809	2021-10-24	United Kingdom	Delta	5604
810	2021-10-25	United Kingdom	Delta	6402
811	2021-10-26	United Kingdom	Delta	6211
812	2021-10-27	United Kingdom	Delta	6665
813	2021-10-28	United Kingdom	Delta	5851
814	2021-10-29	United Kingdom	Delta	5187
815	2021-10-30	United Kingdom	Delta	6133
816	2021-10-31	United Kingdom	Delta	7460
817	2021-11-01	United Kingdom	Delta	7599
818	2021-11-02	United Kingdom	Delta	5964
819	2021-11-03	United Kingdom	Delta	7001
820	2021-11-04	United Kingdom	Delta	6382
821	2021-11-05	United Kingdom	Delta	6839
822	2021-11-06	United Kingdom	Delta	5028
823	2021-11-07	United Kingdom	Delta	6262
824	2021-11-08	United Kingdom	Delta	9535
825	2021-11-09	United Kingdom	Delta	7277
826	2021-11-10	United Kingdom	Delta	7810
827	2021-11-11	United Kingdom	Delta	7888
828	2021-11-12	United Kingdom	Delta	7307
829	2021-11-13	United Kingdom	Delta	6268
830	2021-11-14	United Kingdom	Delta	5776
831	2021-11-15	United Kingdom	Delta	8416
832	2021-11-16	United Kingdom	Delta	8285
833	2021-11-17	United Kingdom	Delta	8319
834	2021-11-18	United Kingdom	Delta	7212
835	2021-11-19	United Kingdom	Delta	6736
836	2021-11-20	United Kingdom	Delta	7800
837	2021-11-21	United Kingdom	Delta	7073
838	2021-11-22	United Kingdom	Delta	10196
839	2021-11-23	United Kingdom	Delta	8414
840	2021-11-24	United Kingdom	Delta	8684
841	2021-11-25	United Kingdom	Delta	7807
842	2021-11-26	United Kingdom	Delta	9729
843	2021-11-27	United Kingdom	Delta	5664
844	2021-11-28	United Kingdom	Delta	8233
845	2021-11-29	United Kingdom	Delta	12563
846	2021-11-30	United Kingdom	Delta	11104
847	2021-12-01	United Kingdom	Delta	9172
848	2021-12-02	United Kingdom	Delta	8157
849	2021-12-03	United Kingdom	Delta	7500
850	2021-12-04	United Kingdom	Delta	6461
851	2021-12-05	United Kingdom	Delta	7728
852	2021-12-06	United Kingdom	Delta	10985
853	2021-12-07	United Kingdom	Delta	11367
854	2021-12-08	United Kingdom	Delta	9095
855	2021-12-09	United Kingdom	Delta	6906
856	2021-12-10	United Kingdom	Delta	5868
857	2021-12-11	United Kingdom	Delta	4962
858	2021-12-12	United Kingdom	Delta	5154
859	2021-12-13	United Kingdom	Delta	5800
860	2021-12-14	United Kingdom	Delta	4880
861	2021-12-15	United Kingdom	Delta	4791
862	2021-12-16	United Kingdom	Delta	3813
863	2021-12-17	United Kingdom	Delta	2621
864	2021-12-18	United Kingdom	Delta	2794
865	2021-12-19	United Kingdom	Delta	1883
866	2021-12-20	United Kingdom	Delta	2070
867	2021-12-21	United Kingdom	Delta	1142
868	2021-12-22	United Kingdom	Delta	850
869	2021-12-23	United Kingdom	Delta	1076
870	2021-12-24	United Kingdom	Delta	335
871	2021-12-25	United Kingdom	Delta	214
872	2021-12-26	United Kingdom	Delta	411
873	2021-12-27	United Kingdom	Delta	593
874	2021-12-28	United Kingdom	Delta	417
875	2021-12-29	United Kingdom	Delta	515
876	2021-12-30	United Kingdom	Delta	303
877	2021-12-31	United Kingdom	Delta	149
878	2022-01-01	United Kingdom	Delta	89
879	2022-01-02	United Kingdom	Delta	115
880	2022-01-03	United Kingdom	Delta	161
881	2022-01-04	United Kingdom	Delta	195
882	2022-01-05	United Kingdom	Delta	141
883	2022-01-06	United Kingdom	Delta	151
884	2022-01-07	United Kingdom	Delta	82
885	2022-01-08	United Kingdom	Delta	53
886	2022-01-09	United Kingdom	Delta	23
887	2022-01-10	United Kingdom	Delta	59
888	2022-01-11	United Kingdom	Delta	30
889	2022-01-12	United Kingdom	Delta	14
890	2022-01-13	United Kingdom	Delta	2
891	2021-10-23	United Kingdom	Omicron 21K	1
892	2021-10-29	United Kingdom	Omicron 21K	1
893	2021-10-30	United Kingdom	Omicron 21K	1
894	2021-11-05	United Kingdom	Omicron 21K	1
895	2021-11-14	United Kingdom	Omicron 21K	1
896	2021-11-15	United Kingdom	Omicron 21K	1
897	2021-11-17	United Kingdom	Omicron 21K	1
898	2021-11-20	United Kingdom	Omicron 21K	1
899	2021-11-21	United Kingdom	Omicron 21K	1
900	2021-11-22	United Kingdom	Omicron 21K	6
901	2021-11-23	United Kingdom	Omicron 21K	8
902	2021-11-24	United Kingdom	Omicron 21K	8
903	2021-11-25	United Kingdom	Omicron 21K	19
904	2021-11-26	United Kingdom	Omicron 21K	43
905	2021-11-27	United Kingdom	Omicron 21K	71
906	2021-11-28	United Kingdom	Omicron 21K	32
907	2021-11-29	United Kingdom	Omicron 21K	89
908	2021-11-30	United Kingdom	Omicron 21K	105
909	2021-12-01	United Kingdom	Omicron 21K	121
910	2021-12-02	United Kingdom	Omicron 21K	165
911	2021-12-03	United Kingdom	Omicron 21K	187
912	2021-12-04	United Kingdom	Omicron 21K	264
913	2021-12-05	United Kingdom	Omicron 21K	325
914	2021-12-06	United Kingdom	Omicron 21K	773
915	2021-12-07	United Kingdom	Omicron 21K	1106
916	2021-12-08	United Kingdom	Omicron 21K	1097
917	2021-12-09	United Kingdom	Omicron 21K	1299
918	2021-12-10	United Kingdom	Omicron 21K	1984
919	2021-12-11	United Kingdom	Omicron 21K	1630
920	2021-12-12	United Kingdom	Omicron 21K	3045
921	2021-12-13	United Kingdom	Omicron 21K	4673
922	2021-12-14	United Kingdom	Omicron 21K	5738
923	2021-12-15	United Kingdom	Omicron 21K	7708
924	2021-12-16	United Kingdom	Omicron 21K	5264
925	2021-12-17	United Kingdom	Omicron 21K	4843
926	2021-12-18	United Kingdom	Omicron 21K	7744
927	2021-12-19	United Kingdom	Omicron 21K	5770
928	2021-12-20	United Kingdom	Omicron 21K	7101
929	2021-12-21	United Kingdom	Omicron 21K	5161
930	2021-12-22	United Kingdom	Omicron 21K	4418
931	2021-12-23	United Kingdom	Omicron 21K	4937
932	2021-12-24	United Kingdom	Omicron 21K	2936
933	2021-12-25	United Kingdom	Omicron 21K	1849
934	2021-12-26	United Kingdom	Omicron 21K	5052
935	2021-12-27	United Kingdom	Omicron 21K	7166
936	2021-12-28	United Kingdom	Omicron 21K	8704
937	2021-12-29	United Kingdom	Omicron 21K	9923
938	2021-12-30	United Kingdom	Omicron 21K	8119
939	2021-12-31	United Kingdom	Omicron 21K	5170
940	2022-01-01	United Kingdom	Omicron 21K	3522
941	2022-01-02	United Kingdom	Omicron 21K	5127
942	2022-01-03	United Kingdom	Omicron 21K	7832
943	2022-01-04	United Kingdom	Omicron 21K	10019
944	2022-01-05	United Kingdom	Omicron 21K	8094
945	2022-01-06	United Kingdom	Omicron 21K	9496
946	2022-01-07	United Kingdom	Omicron 21K	4642
947	2022-01-08	United Kingdom	Omicron 21K	4423
948	2022-01-09	United Kingdom	Omicron 21K	3510
949	2022-01-10	United Kingdom	Omicron 21K	5830
950	2022-01-11	United Kingdom	Omicron 21K	5058
951	2022-01-12	United Kingdom	Omicron 21K	1608
952	2022-01-13	United Kingdom	Omicron 21K	371
953	2022-01-14	United Kingdom	Omicron 21K	2
954	2021-12-06	United Kingdom	Omicron 21L	1
955	2021-12-09	United Kingdom	Omicron 21L	1
956	2021-12-25	United Kingdom	Omicron 21L	2
957	2021-12-26	United Kingdom	Omicron 21L	1
958	2021-12-27	United Kingdom	Omicron 21L	1
959	2021-12-28	United Kingdom	Omicron 21L	4
960	2021-12-29	United Kingdom	Omicron 21L	3
961	2021-12-31	United Kingdom	Omicron 21L	2
962	2022-01-01	United Kingdom	Omicron 21L	4
963	2022-01-02	United Kingdom	Omicron 21L	4
964	2022-01-03	United Kingdom	Omicron 21L	7
965	2022-01-04	United Kingdom	Omicron 21L	19
966	2022-01-05	United Kingdom	Omicron 21L	10
967	2022-01-06	United Kingdom	Omicron 21L	13
968	2022-01-07	United Kingdom	Omicron 21L	21
969	2022-01-08	United Kingdom	Omicron 21L	37
970	2022-01-09	United Kingdom	Omicron 21L	22
971	2022-01-10	United Kingdom	Omicron 21L	56
972	2022-01-11	United Kingdom	Omicron 21L	42
973	2022-01-12	United Kingdom	Omicron 21L	40
974	2022-01-13	United Kingdom	Omicron 21L	10
