date	location	variant	date_submitted	sequences
2022-01-25	Japan	Omicron 21K	2022-03-01	25
2022-01-25	Japan	Omicron 21K	2022-03-04	508
2022-01-25	Japan	Omicron 21K	2022-03-09	3
2022-01-25	Japan	Omicron 21K	2022-03-10	298
2022-01-25	Japan	Omicron 21K	2022-03-15	41
2022-01-25	Japan	Omicron 21K	2022-03-25	4
2022-01-25	Japan	Omicron 21K	2022-03-31	172
2022-01-25	Japan	Omicron 21K	2022-04-04	263
2022-01-25	Japan	Omicron 21K	2022-04-07	2
2022-01-25	Japan	Omicron 21K	2022-04-28	2
2022-01-25	Japan	Omicron 21K	2022-05-27	4
2022-01-25	Japan	Omicron 21K	2022-05-30	11
2022-01-25	Japan	Omicron 21K	2022-06-10	10
2022-01-25	Japan	Omicron 21K	2022-08-24	14
2022-01-25	Japan	Omicron 21L	2022-03-01	20
2022-01-25	Japan	Omicron 21L	2022-03-04	3
2022-01-25	Japan	Omicron 21L	2022-03-10	2
2022-01-25	South Africa	Delta	2022-03-09	1
2022-01-25	South Africa	Omicron 21K	2022-02-10	2
2022-01-25	South Africa	Omicron 21K	2022-02-14	3
2022-01-25	South Africa	Omicron 21K	2022-02-17	1
2022-01-25	South Africa	Omicron 21K	2022-02-22	3
2022-01-25	South Africa	Omicron 21K	2022-02-23	4
2022-01-25	South Africa	Omicron 21K	2022-03-03	2
2022-01-25	South Africa	Omicron 21K	2022-03-04	1
2022-01-25	South Africa	Omicron 21K	2022-03-08	1
2022-01-25	South Africa	Omicron 21K	2022-03-09	5
2022-01-25	South Africa	Omicron 21K	2022-03-30	3
2022-01-25	South Africa	Omicron 21K	2022-04-05	1
2022-01-25	South Africa	Omicron 21K	2022-04-13	3
2022-01-25	South Africa	Omicron 21K	2022-08-31	1
2022-01-25	South Africa	Omicron 21L	2022-02-02	1
2022-01-25	South Africa	Omicron 21L	2022-02-14	2
2022-01-25	South Africa	Omicron 21L	2022-02-17	1
2022-01-25	South Africa	Omicron 21L	2022-02-22	4
2022-01-25	South Africa	Omicron 21L	2022-02-23	10
2022-01-25	South Africa	Omicron 21L	2022-03-03	3
2022-01-25	South Africa	Omicron 21L	2022-03-04	1
2022-01-25	South Africa	Omicron 21L	2022-03-09	3
2022-01-25	South Africa	Omicron 21L	2022-03-17	1
2022-01-25	South Africa	Omicron 21L	2022-03-30	1
2022-01-25	South Africa	Omicron 21L	2022-04-13	3
2022-01-25	South Africa	Omicron 21L	2022-04-22	2
2022-01-25	South Africa	Omicron 21L	2022-06-23	1
2022-01-25	South Africa	Omicron 22B	2022-06-23	2
2022-01-25	USA	Delta	2022-01-31	2
2022-01-25	USA	Delta	2022-02-03	1
2022-01-25	USA	Delta	2022-02-06	17
2022-01-25	USA	Delta	2022-02-07	4
2022-01-25	USA	Delta	2022-02-08	3
2022-01-25	USA	Delta	2022-02-09	3
2022-01-25	USA	Delta	2022-02-10	2
2022-01-25	USA	Delta	2022-02-12	2
2022-01-25	USA	Delta	2022-02-14	1
2022-01-25	USA	Delta	2022-02-15	13
2022-01-25	USA	Delta	2022-02-16	4
2022-01-25	USA	Delta	2022-02-17	1
2022-01-25	USA	Delta	2022-02-18	3
2022-01-25	USA	Delta	2022-02-19	2
2022-01-25	USA	Delta	2022-02-22	2
2022-01-25	USA	Delta	2022-02-24	1
2022-01-25	USA	Delta	2022-02-25	1
2022-01-25	USA	Delta	2022-02-26	1
2022-01-25	USA	Delta	2022-03-03	1
2022-01-25	USA	Delta	2022-03-04	1
2022-01-25	USA	Delta	2022-03-08	2
2022-01-25	USA	Delta	2022-03-09	1
2022-01-25	USA	Delta	2022-03-14	2
2022-01-25	USA	Delta	2022-03-18	1
2022-01-25	USA	Delta	2022-03-20	1
2022-01-25	USA	Delta	2022-03-22	1
2022-01-25	USA	Delta	2022-04-08	1
2022-01-25	USA	Delta	2022-04-12	1
2022-01-25	USA	Delta	2022-04-18	2
2022-01-25	USA	Delta	2022-04-19	2
2022-01-25	USA	Delta	2022-04-27	2
2022-01-25	USA	Delta	2022-04-28	1
2022-01-25	USA	Delta	2022-07-22	2
2022-01-25	USA	Delta	2022-08-19	1
2022-01-25	USA	Omicron 21K	2022-01-27	8
2022-01-25	USA	Omicron 21K	2022-01-28	70
2022-01-25	USA	Omicron 21K	2022-01-29	14
2022-01-25	USA	Omicron 21K	2022-01-31	301
2022-01-25	USA	Omicron 21K	2022-02-01	83
2022-01-25	USA	Omicron 21K	2022-02-02	50
2022-01-25	USA	Omicron 21K	2022-02-03	215
2022-01-25	USA	Omicron 21K	2022-02-04	300
2022-01-25	USA	Omicron 21K	2022-02-05	95
2022-01-25	USA	Omicron 21K	2022-02-06	1709
2022-01-25	USA	Omicron 21K	2022-02-07	775
2022-01-25	USA	Omicron 21K	2022-02-08	659
2022-01-25	USA	Omicron 21K	2022-02-09	383
2022-01-25	USA	Omicron 21K	2022-02-10	146
2022-01-25	USA	Omicron 21K	2022-02-11	171
2022-01-25	USA	Omicron 21K	2022-02-12	135
2022-01-25	USA	Omicron 21K	2022-02-13	13
2022-01-25	USA	Omicron 21K	2022-02-14	186
2022-01-25	USA	Omicron 21K	2022-02-15	1707
2022-01-25	USA	Omicron 21K	2022-02-16	1250
2022-01-25	USA	Omicron 21K	2022-02-17	88
2022-01-25	USA	Omicron 21K	2022-02-18	321
2022-01-25	USA	Omicron 21K	2022-02-19	339
2022-01-25	USA	Omicron 21K	2022-02-20	17
2022-01-25	USA	Omicron 21K	2022-02-21	273
2022-01-25	USA	Omicron 21K	2022-02-22	742
2022-01-25	USA	Omicron 21K	2022-02-23	125
2022-01-25	USA	Omicron 21K	2022-02-24	146
2022-01-25	USA	Omicron 21K	2022-02-25	45
2022-01-25	USA	Omicron 21K	2022-02-26	19
2022-01-25	USA	Omicron 21K	2022-02-27	113
2022-01-25	USA	Omicron 21K	2022-02-28	33
2022-01-25	USA	Omicron 21K	2022-03-01	270
2022-01-25	USA	Omicron 21K	2022-03-02	116
2022-01-25	USA	Omicron 21K	2022-03-03	189
2022-01-25	USA	Omicron 21K	2022-03-04	52
2022-01-25	USA	Omicron 21K	2022-03-05	22
2022-01-25	USA	Omicron 21K	2022-03-06	1
2022-01-25	USA	Omicron 21K	2022-03-07	33
2022-01-25	USA	Omicron 21K	2022-03-08	361
2022-01-25	USA	Omicron 21K	2022-03-09	68
2022-01-25	USA	Omicron 21K	2022-03-10	48
2022-01-25	USA	Omicron 21K	2022-03-11	7
2022-01-25	USA	Omicron 21K	2022-03-12	22
2022-01-25	USA	Omicron 21K	2022-03-13	16
2022-01-25	USA	Omicron 21K	2022-03-14	71
2022-01-25	USA	Omicron 21K	2022-03-15	45
2022-01-25	USA	Omicron 21K	2022-03-16	106
2022-01-25	USA	Omicron 21K	2022-03-17	27
2022-01-25	USA	Omicron 21K	2022-03-18	145
2022-01-25	USA	Omicron 21K	2022-03-19	1
2022-01-25	USA	Omicron 21K	2022-03-20	234
2022-01-25	USA	Omicron 21K	2022-03-21	37
2022-01-25	USA	Omicron 21K	2022-03-22	10
2022-01-25	USA	Omicron 21K	2022-03-23	35
2022-01-25	USA	Omicron 21K	2022-03-24	34
2022-01-25	USA	Omicron 21K	2022-03-25	28
2022-01-25	USA	Omicron 21K	2022-03-26	90
2022-01-25	USA	Omicron 21K	2022-03-28	7
2022-01-25	USA	Omicron 21K	2022-03-29	49
2022-01-25	USA	Omicron 21K	2022-03-30	103
2022-01-25	USA	Omicron 21K	2022-03-31	4
2022-01-25	USA	Omicron 21K	2022-04-01	120
2022-01-25	USA	Omicron 21K	2022-04-02	1
2022-01-25	USA	Omicron 21K	2022-04-04	8
2022-01-25	USA	Omicron 21K	2022-04-05	240
2022-01-25	USA	Omicron 21K	2022-04-06	12
2022-01-25	USA	Omicron 21K	2022-04-08	527
2022-01-25	USA	Omicron 21K	2022-04-11	138
2022-01-25	USA	Omicron 21K	2022-04-12	20
2022-01-25	USA	Omicron 21K	2022-04-13	23
2022-01-25	USA	Omicron 21K	2022-04-14	16
2022-01-25	USA	Omicron 21K	2022-04-15	10
2022-01-25	USA	Omicron 21K	2022-04-16	16
2022-01-25	USA	Omicron 21K	2022-04-17	1
2022-01-25	USA	Omicron 21K	2022-04-18	114
2022-01-25	USA	Omicron 21K	2022-04-19	24
2022-01-25	USA	Omicron 21K	2022-04-20	2
2022-01-25	USA	Omicron 21K	2022-04-22	93
2022-01-25	USA	Omicron 21K	2022-04-23	2
2022-01-25	USA	Omicron 21K	2022-04-24	2
2022-01-25	USA	Omicron 21K	2022-04-25	1
2022-01-25	USA	Omicron 21K	2022-04-26	5
2022-01-25	USA	Omicron 21K	2022-04-27	106
2022-01-25	USA	Omicron 21K	2022-04-28	18
2022-01-25	USA	Omicron 21K	2022-04-29	1
2022-01-25	USA	Omicron 21K	2022-04-30	17
2022-01-25	USA	Omicron 21K	2022-05-02	17
2022-01-25	USA	Omicron 21K	2022-05-04	4
2022-01-25	USA	Omicron 21K	2022-05-05	11
2022-01-25	USA	Omicron 21K	2022-05-06	4
2022-01-25	USA	Omicron 21K	2022-05-08	22
2022-01-25	USA	Omicron 21K	2022-05-09	8
2022-01-25	USA	Omicron 21K	2022-05-10	1
2022-01-25	USA	Omicron 21K	2022-05-12	16
2022-01-25	USA	Omicron 21K	2022-05-13	7
2022-01-25	USA	Omicron 21K	2022-05-14	18
2022-01-25	USA	Omicron 21K	2022-05-16	6
2022-01-25	USA	Omicron 21K	2022-05-17	11
2022-01-25	USA	Omicron 21K	2022-05-19	15
2022-01-25	USA	Omicron 21K	2022-05-20	42
2022-01-25	USA	Omicron 21K	2022-05-21	1
2022-01-25	USA	Omicron 21K	2022-05-24	50
2022-01-25	USA	Omicron 21K	2022-05-25	5
2022-01-25	USA	Omicron 21K	2022-05-27	2
2022-01-25	USA	Omicron 21K	2022-05-28	3
2022-01-25	USA	Omicron 21K	2022-05-31	39
2022-01-25	USA	Omicron 21K	2022-06-01	4
2022-01-25	USA	Omicron 21K	2022-06-02	5
2022-01-25	USA	Omicron 21K	2022-06-06	10
2022-01-25	USA	Omicron 21K	2022-06-09	1
2022-01-25	USA	Omicron 21K	2022-06-12	1
2022-01-25	USA	Omicron 21K	2022-06-13	6
2022-01-25	USA	Omicron 21K	2022-06-15	3
2022-01-25	USA	Omicron 21K	2022-06-22	2
2022-01-25	USA	Omicron 21K	2022-06-24	3
2022-01-25	USA	Omicron 21K	2022-07-01	15
2022-01-25	USA	Omicron 21K	2022-07-05	3
2022-01-25	USA	Omicron 21K	2022-07-06	9
2022-01-25	USA	Omicron 21K	2022-07-07	6
2022-01-25	USA	Omicron 21K	2022-07-13	6
2022-01-25	USA	Omicron 21K	2022-07-18	3
2022-01-25	USA	Omicron 21K	2022-07-19	3
2022-01-25	USA	Omicron 21K	2022-07-20	4
2022-01-25	USA	Omicron 21K	2022-07-22	95
2022-01-25	USA	Omicron 21K	2022-07-26	1
2022-01-25	USA	Omicron 21K	2022-07-28	2
2022-01-25	USA	Omicron 21K	2022-08-10	1
2022-01-25	USA	Omicron 21K	2022-08-16	1
2022-01-25	USA	Omicron 21K	2022-08-19	16
2022-01-25	USA	Omicron 21K	2022-08-22	5
2022-01-25	USA	Omicron 21K	2022-08-23	10
2022-01-25	USA	Omicron 21K	2022-08-29	2
2022-01-25	USA	Omicron 21K	2022-09-02	1
2022-01-25	USA	Omicron 21K	2022-09-07	2
2022-01-25	USA	Omicron 21K	2022-09-14	4
2022-01-25	USA	Omicron 21K	2022-09-19	16
2022-01-25	USA	Omicron 21L	2022-01-31	5
2022-01-25	USA	Omicron 21L	2022-02-02	2
2022-01-25	USA	Omicron 21L	2022-02-03	2
2022-01-25	USA	Omicron 21L	2022-02-04	3
2022-01-25	USA	Omicron 21L	2022-02-05	5
2022-01-25	USA	Omicron 21L	2022-02-06	9
2022-01-25	USA	Omicron 21L	2022-02-07	10
2022-01-25	USA	Omicron 21L	2022-02-08	5
2022-01-25	USA	Omicron 21L	2022-02-09	2
2022-01-25	USA	Omicron 21L	2022-02-10	3
2022-01-25	USA	Omicron 21L	2022-02-13	3
2022-01-25	USA	Omicron 21L	2022-02-14	3
2022-01-25	USA	Omicron 21L	2022-02-15	17
2022-01-25	USA	Omicron 21L	2022-02-16	5
2022-01-25	USA	Omicron 21L	2022-02-17	3
2022-01-25	USA	Omicron 21L	2022-02-19	1
2022-01-25	USA	Omicron 21L	2022-02-22	1
2022-01-25	USA	Omicron 21L	2022-02-23	1
2022-01-25	USA	Omicron 21L	2022-02-24	3
2022-01-25	USA	Omicron 21L	2022-03-01	1
2022-01-25	USA	Omicron 21L	2022-03-02	1
2022-01-25	USA	Omicron 21L	2022-03-03	3
2022-01-25	USA	Omicron 21L	2022-03-08	3
2022-01-25	USA	Omicron 21L	2022-03-13	1
2022-01-25	USA	Omicron 21L	2022-03-21	2
2022-01-25	USA	Omicron 21L	2022-04-01	1
2022-01-25	USA	Omicron 21L	2022-04-05	1
2022-01-25	USA	Omicron 21L	2022-04-08	1
2022-01-25	USA	Omicron 21L	2022-04-11	2
2022-01-25	USA	Omicron 21L	2022-04-13	1
2022-01-25	USA	Omicron 21L	2022-04-15	2
2022-01-25	USA	Omicron 21L	2022-04-18	1
2022-01-25	USA	Omicron 21L	2022-04-19	19
2022-01-25	USA	Omicron 21L	2022-04-27	1
2022-01-25	USA	Omicron 21L	2022-04-28	1
2022-01-25	USA	Omicron 21L	2022-05-13	1
2022-01-25	USA	Omicron 21L	2022-05-19	1
2022-01-25	USA	Omicron 21L	2022-05-31	1
2022-01-25	USA	Omicron 21L	2022-06-01	1
2022-01-25	USA	other	2022-02-02	1
2022-01-25	USA	other	2022-02-06	15
2022-01-25	USA	other	2022-02-07	1
2022-01-25	USA	other	2022-02-08	6
2022-01-25	USA	other	2022-02-15	3
2022-01-25	USA	other	2022-02-16	1
2022-01-25	USA	other	2022-02-27	1
2022-01-25	USA	other	2022-03-03	1
2022-01-25	USA	other	2022-03-08	1
2022-01-25	USA	other	2022-03-21	1
2022-01-25	USA	other	2022-04-08	2
2022-01-25	USA	other	2022-05-09	1
2022-01-25	United Kingdom	Delta	2022-01-31	2
2022-01-25	United Kingdom	Delta	2022-02-01	1
2022-01-25	United Kingdom	Delta	2022-02-05	2
2022-01-25	United Kingdom	Delta	2022-02-10	1
2022-01-25	United Kingdom	Delta	2022-02-12	3
2022-01-25	United Kingdom	Delta	2022-02-13	2
2022-01-25	United Kingdom	Delta	2022-02-18	1
2022-01-25	United Kingdom	Delta	2022-02-22	1
2022-01-25	United Kingdom	Delta	2022-02-24	15
2022-01-25	United Kingdom	Delta	2022-02-28	9
2022-01-25	United Kingdom	Delta	2022-03-14	1
2022-01-25	United Kingdom	Omicron 21K	2022-01-26	1
2022-01-25	United Kingdom	Omicron 21K	2022-01-29	2
2022-01-25	United Kingdom	Omicron 21K	2022-01-30	3
2022-01-25	United Kingdom	Omicron 21K	2022-01-31	890
2022-01-25	United Kingdom	Omicron 21K	2022-02-01	3430
2022-01-25	United Kingdom	Omicron 21K	2022-02-02	421
2022-01-25	United Kingdom	Omicron 21K	2022-02-03	1518
2022-01-25	United Kingdom	Omicron 21K	2022-02-04	171
2022-01-25	United Kingdom	Omicron 21K	2022-02-05	231
2022-01-25	United Kingdom	Omicron 21K	2022-02-06	149
2022-01-25	United Kingdom	Omicron 21K	2022-02-07	35
2022-01-25	United Kingdom	Omicron 21K	2022-02-08	6
2022-01-25	United Kingdom	Omicron 21K	2022-02-09	4
2022-01-25	United Kingdom	Omicron 21K	2022-02-10	148
2022-01-25	United Kingdom	Omicron 21K	2022-02-11	27
2022-01-25	United Kingdom	Omicron 21K	2022-02-12	495
2022-01-25	United Kingdom	Omicron 21K	2022-02-13	185
2022-01-25	United Kingdom	Omicron 21K	2022-02-14	45
2022-01-25	United Kingdom	Omicron 21K	2022-02-15	13
2022-01-25	United Kingdom	Omicron 21K	2022-02-16	45
2022-01-25	United Kingdom	Omicron 21K	2022-02-17	284
2022-01-25	United Kingdom	Omicron 21K	2022-02-18	81
2022-01-25	United Kingdom	Omicron 21K	2022-02-21	4
2022-01-25	United Kingdom	Omicron 21K	2022-02-22	256
2022-01-25	United Kingdom	Omicron 21K	2022-02-23	92
2022-01-25	United Kingdom	Omicron 21K	2022-02-24	400
2022-01-25	United Kingdom	Omicron 21K	2022-02-25	11
2022-01-25	United Kingdom	Omicron 21K	2022-02-28	275
2022-01-25	United Kingdom	Omicron 21K	2022-03-01	24
2022-01-25	United Kingdom	Omicron 21K	2022-03-02	13
2022-01-25	United Kingdom	Omicron 21K	2022-03-03	23
2022-01-25	United Kingdom	Omicron 21K	2022-03-07	12
2022-01-25	United Kingdom	Omicron 21K	2022-03-09	17
2022-01-25	United Kingdom	Omicron 21K	2022-03-14	18
2022-01-25	United Kingdom	Omicron 21K	2022-03-17	1
2022-01-25	United Kingdom	Omicron 21K	2022-03-18	3
2022-01-25	United Kingdom	Omicron 21K	2022-03-28	35
2022-01-25	United Kingdom	Omicron 21K	2022-04-01	1
2022-01-25	United Kingdom	Omicron 21K	2022-04-11	206
2022-01-25	United Kingdom	Omicron 21K	2022-07-27	16
2022-01-25	United Kingdom	Omicron 21K	2022-09-14	1
2022-01-25	United Kingdom	Omicron 21L	2022-01-31	70
2022-01-25	United Kingdom	Omicron 21L	2022-02-01	205
2022-01-25	United Kingdom	Omicron 21L	2022-02-02	20
2022-01-25	United Kingdom	Omicron 21L	2022-02-03	135
2022-01-25	United Kingdom	Omicron 21L	2022-02-04	9
2022-01-25	United Kingdom	Omicron 21L	2022-02-05	10
2022-01-25	United Kingdom	Omicron 21L	2022-02-06	11
2022-01-25	United Kingdom	Omicron 21L	2022-02-07	2
2022-01-25	United Kingdom	Omicron 21L	2022-02-08	1
2022-01-25	United Kingdom	Omicron 21L	2022-02-10	9
2022-01-25	United Kingdom	Omicron 21L	2022-02-11	4
2022-01-25	United Kingdom	Omicron 21L	2022-02-12	26
2022-01-25	United Kingdom	Omicron 21L	2022-02-13	5
2022-01-25	United Kingdom	Omicron 21L	2022-02-14	1
2022-01-25	United Kingdom	Omicron 21L	2022-02-15	2
2022-01-25	United Kingdom	Omicron 21L	2022-02-16	2
2022-01-25	United Kingdom	Omicron 21L	2022-02-17	8
2022-01-25	United Kingdom	Omicron 21L	2022-02-18	1
2022-01-25	United Kingdom	Omicron 21L	2022-02-22	144
2022-01-25	United Kingdom	Omicron 21L	2022-02-23	4
2022-01-25	United Kingdom	Omicron 21L	2022-02-24	2
2022-01-25	United Kingdom	Omicron 21L	2022-02-28	1
2022-01-25	United Kingdom	Omicron 21L	2022-03-01	1
2022-01-25	United Kingdom	Omicron 21L	2022-03-14	5
2022-01-25	United Kingdom	Omicron 21L	2022-03-18	1
2022-01-25	United Kingdom	Omicron 21L	2022-04-11	4
2022-01-25	United Kingdom	other	2022-01-31	1
2022-01-25	United Kingdom	other	2022-02-01	3
2022-01-25	United Kingdom	other	2022-02-02	1
2022-01-25	United Kingdom	other	2022-02-03	2
2022-01-25	United Kingdom	other	2022-02-22	1
2022-01-26	Australia	Delta	2022-01-30	2
2022-01-26	Australia	Delta	2022-02-10	1
2022-01-26	Australia	Delta	2022-02-12	1
2022-01-26	Australia	Delta	2022-06-24	2
2022-01-26	Australia	Omicron 21K	2022-01-30	11
2022-01-26	Australia	Omicron 21K	2022-02-04	9
2022-01-26	Australia	Omicron 21K	2022-02-07	3
2022-01-26	Australia	Omicron 21K	2022-02-10	63
2022-01-26	Australia	Omicron 21K	2022-02-12	3
2022-01-26	Australia	Omicron 21K	2022-02-16	5
2022-01-26	Australia	Omicron 21K	2022-02-21	13
2022-01-26	Australia	Omicron 21K	2022-02-23	21
2022-01-26	Australia	Omicron 21K	2022-02-24	9
2022-01-26	Australia	Omicron 21K	2022-02-28	1
2022-01-26	Australia	Omicron 21K	2022-03-02	7
2022-01-26	Australia	Omicron 21K	2022-03-07	3
2022-01-26	Australia	Omicron 21K	2022-03-13	5
2022-01-26	Australia	Omicron 21K	2022-03-14	1
2022-01-26	Australia	Omicron 21K	2022-04-13	1
2022-01-26	Australia	Omicron 21L	2022-01-30	3
2022-01-26	Australia	Omicron 21L	2022-02-10	2
2022-01-26	Australia	Omicron 21L	2022-02-16	6
2022-01-26	Australia	Omicron 21L	2022-02-21	2
2022-01-26	Australia	Omicron 21L	2022-03-02	7
2022-01-26	Brazil	Delta	2022-03-14	4
2022-01-26	Brazil	Delta	2022-05-20	1
2022-01-26	Brazil	Omicron 21K	2022-02-07	10
2022-01-26	Brazil	Omicron 21K	2022-02-08	8
2022-01-26	Brazil	Omicron 21K	2022-02-10	1
2022-01-26	Brazil	Omicron 21K	2022-02-14	30
2022-01-26	Brazil	Omicron 21K	2022-02-15	7
2022-01-26	Brazil	Omicron 21K	2022-02-16	19
2022-01-26	Brazil	Omicron 21K	2022-02-18	37
2022-01-26	Brazil	Omicron 21K	2022-02-20	1
2022-01-26	Brazil	Omicron 21K	2022-02-24	60
2022-01-26	Brazil	Omicron 21K	2022-02-26	3
2022-01-26	Brazil	Omicron 21K	2022-02-27	2
2022-01-26	Brazil	Omicron 21K	2022-02-28	7
2022-01-26	Brazil	Omicron 21K	2022-03-01	10
2022-01-26	Brazil	Omicron 21K	2022-03-03	1
2022-01-26	Brazil	Omicron 21K	2022-03-04	43
2022-01-26	Brazil	Omicron 21K	2022-03-14	66
2022-01-26	Brazil	Omicron 21K	2022-03-15	4
2022-01-26	Brazil	Omicron 21K	2022-03-17	13
2022-01-26	Brazil	Omicron 21K	2022-03-18	2
2022-01-26	Brazil	Omicron 21K	2022-03-22	6
2022-01-26	Brazil	Omicron 21K	2022-03-23	4
2022-01-26	Brazil	Omicron 21K	2022-03-25	28
2022-01-26	Brazil	Omicron 21K	2022-03-26	8
2022-01-26	Brazil	Omicron 21K	2022-03-28	1
2022-01-26	Brazil	Omicron 21K	2022-03-31	5
2022-01-26	Brazil	Omicron 21K	2022-04-01	9
2022-01-26	Brazil	Omicron 21K	2022-04-04	5
2022-01-26	Brazil	Omicron 21K	2022-04-05	2
2022-01-26	Brazil	Omicron 21K	2022-04-06	3
2022-01-26	Brazil	Omicron 21K	2022-04-11	3
2022-01-26	Brazil	Omicron 21K	2022-04-12	1
2022-01-26	Brazil	Omicron 21K	2022-04-14	7
2022-01-26	Brazil	Omicron 21K	2022-04-19	6
2022-01-26	Brazil	Omicron 21K	2022-04-20	5
2022-01-26	Brazil	Omicron 21K	2022-04-21	4
2022-01-26	Brazil	Omicron 21K	2022-04-29	25
2022-01-26	Brazil	Omicron 21K	2022-05-03	2
2022-01-26	Brazil	Omicron 21K	2022-05-04	6
2022-01-26	Brazil	Omicron 21K	2022-05-06	2
2022-01-26	Brazil	Omicron 21K	2022-05-07	4
2022-01-26	Brazil	Omicron 21K	2022-05-12	8
2022-01-26	Brazil	Omicron 21K	2022-05-19	20
2022-01-26	Brazil	Omicron 21K	2022-05-20	12
2022-01-26	Brazil	Omicron 21K	2022-05-22	11
2022-01-26	Brazil	Omicron 21K	2022-05-23	1
2022-01-26	Brazil	Omicron 21K	2022-05-24	12
2022-01-26	Brazil	Omicron 21K	2022-05-26	2
2022-01-26	Brazil	Omicron 21K	2022-06-02	4
2022-01-26	Brazil	Omicron 21K	2022-06-03	1
2022-01-26	Brazil	Omicron 21K	2022-06-06	1
2022-01-26	Brazil	Omicron 21K	2022-06-07	11
2022-01-26	Brazil	Omicron 21K	2022-06-11	4
2022-01-26	Brazil	Omicron 21K	2022-06-14	1
2022-01-26	Brazil	Omicron 21K	2022-06-16	1
2022-01-26	Brazil	Omicron 21K	2022-06-17	3
2022-01-26	Brazil	Omicron 21K	2022-06-20	15
2022-01-26	Brazil	Omicron 21K	2022-06-21	3
2022-01-26	Brazil	Omicron 21K	2022-06-23	7
2022-01-26	Brazil	Omicron 21K	2022-06-27	2
2022-01-26	Brazil	Omicron 21K	2022-06-28	4
2022-01-26	Brazil	Omicron 21K	2022-06-30	16
2022-01-26	Brazil	Omicron 21K	2022-07-01	5
2022-01-26	Brazil	Omicron 21K	2022-07-05	3
2022-01-26	Brazil	Omicron 21K	2022-07-07	1
2022-01-26	Brazil	Omicron 21K	2022-07-13	1
2022-01-26	Brazil	Omicron 21K	2022-07-14	4
2022-01-26	Brazil	Omicron 21K	2022-07-18	11
2022-01-26	Brazil	Omicron 21K	2022-07-19	5
2022-01-26	Brazil	Omicron 21K	2022-07-21	2
2022-01-26	Brazil	Omicron 21K	2022-07-23	2
2022-01-26	Brazil	Omicron 21K	2022-08-11	2
2022-01-26	Brazil	Omicron 21K	2022-08-26	22
2022-01-26	Brazil	Omicron 21K	2022-09-02	12
2022-01-26	Brazil	Omicron 21K	2022-09-09	8
2022-01-26	Brazil	other	2022-08-26	1
2022-01-26	Japan	Delta	2022-02-18	1
2022-01-26	Japan	Delta	2022-03-04	5
2022-01-26	Japan	Delta	2022-04-04	3
2022-01-26	Japan	Delta	2022-06-10	1
2022-01-26	Japan	Omicron 21K	2022-02-01	2
2022-01-26	Japan	Omicron 21K	2022-02-13	7
2022-01-26	Japan	Omicron 21K	2022-02-18	2
2022-01-26	Japan	Omicron 21K	2022-02-24	5
2022-01-26	Japan	Omicron 21K	2022-02-28	14
2022-01-26	Japan	Omicron 21K	2022-03-01	18
2022-01-26	Japan	Omicron 21K	2022-03-04	490
2022-01-26	Japan	Omicron 21K	2022-03-15	45
2022-01-26	Japan	Omicron 21K	2022-03-31	40
2022-01-26	Japan	Omicron 21K	2022-04-04	209
2022-01-26	Japan	Omicron 21K	2022-04-11	1
2022-01-26	Japan	Omicron 21K	2022-04-28	2
2022-01-26	Japan	Omicron 21K	2022-05-13	12
2022-01-26	Japan	Omicron 21K	2022-05-30	6
2022-01-26	Japan	Omicron 21K	2022-06-10	9
2022-01-26	Japan	Omicron 21K	2022-08-12	1
2022-01-26	Japan	Omicron 21K	2022-08-24	2
2022-01-26	Japan	Omicron 21K	2022-09-01	1
2022-01-26	Japan	Omicron 21L	2022-02-24	1
2022-01-26	Japan	Omicron 21L	2022-03-01	32
2022-01-26	Japan	Omicron 21L	2022-03-04	3
2022-01-26	Japan	Omicron 21L	2022-04-04	2
2022-01-26	Japan	Omicron 21L	2022-04-28	1
2022-01-26	South Africa	Omicron 21K	2022-02-10	4
2022-01-26	South Africa	Omicron 21K	2022-02-14	2
2022-01-26	South Africa	Omicron 21K	2022-02-22	1
2022-01-26	South Africa	Omicron 21K	2022-02-23	8
2022-01-26	South Africa	Omicron 21K	2022-03-04	1
2022-01-26	South Africa	Omicron 21K	2022-03-08	1
2022-01-26	South Africa	Omicron 21K	2022-03-10	1
2022-01-26	South Africa	Omicron 21K	2022-03-17	1
2022-01-26	South Africa	Omicron 21K	2022-03-30	3
2022-01-26	South Africa	Omicron 21K	2022-04-13	2
2022-01-26	South Africa	Omicron 21K	2022-08-03	1
2022-01-26	South Africa	Omicron 21L	2022-02-10	4
2022-01-26	South Africa	Omicron 21L	2022-02-14	1
2022-01-26	South Africa	Omicron 21L	2022-02-23	9
2022-01-26	South Africa	Omicron 21L	2022-03-04	3
2022-01-26	South Africa	Omicron 21L	2022-03-09	2
2022-01-26	South Africa	Omicron 21L	2022-03-10	2
2022-01-26	South Africa	Omicron 21L	2022-03-17	1
2022-01-26	South Africa	Omicron 21L	2022-03-30	1
2022-01-26	South Africa	Omicron 21L	2022-04-13	1
2022-01-26	South Africa	Omicron 21L	2022-06-23	4
2022-01-26	South Africa	Omicron 21L	2022-08-03	1
2022-01-26	South Africa	Omicron 21L	2022-08-30	1
2022-01-26	South Africa	Omicron 22A	2022-03-09	1
2022-01-26	South Africa	Omicron 22B	2022-06-23	1
2022-01-26	South Africa	other	2022-02-14	1
2022-01-26	USA	Delta	2022-02-02	1
2022-01-26	USA	Delta	2022-02-03	1
